vol,ask,bid,open,close,high,low,result
1101354.0,42492.25,42478.25,1508.75,1520.25,1523.0,1508.75,0
972702.0,42687.25,42673.75,1522.75,1526.5,1527.0,1519.75,0
642168.0,42699.25,42686.25,1524.5,1524.25,1527.25,1521.5,1
838979.0,42662.75,42649.0,1527.5,1518.5,1529.75,1517.5,1
810313.0,42586.25,42572.5,1517.25,1520.0,1525.5,1514.0,0
592634.0,42680.25,42666.5,1521.25,1524.5,1527.0,1519.25,0
934842.0,42597.75,42584.25,1523.0,1522.5,1524.75,1514.75,1
775493.0,42685.5,42671.5,1528.25,1524.25,1528.5,1520.75,1
1675517.0,82963.5,82938.0,1542.25,1535.75,1542.25,1523.5,1
644364.0,43026.0,43012.0,1538.5,1532.75,1541.75,1530.0,1
884280.0,42875.75,42862.25,1527.75,1534.0,1538.25,1524.25,0
891842.0,72042.75,72020.0,1534.25,1528.0,1538.25,1524.5,0
569333.0,42632.0,42618.5,1528.75,1518.25,1529.0,1517.5,1
260526.0,42662.25,42648.25,1519.25,1526.5,1527.25,1518.5,0
399276.0,42929.5,42915.75,1529.5,1535.0,1536.5,1528.25,0
395702.0,42930.0,42916.25,1534.0,1532.25,1535.75,1529.75,1
511695.0,42879.75,42866.25,1532.25,1527.0,1535.25,1523.25,0
1159609.0,42843.25,42829.5,1532.25,1522.75,1537.75,1514.25,1
933619.0,39593.5,39581.0,1521.25,1525.5,1529.25,1514.5,0
942281.0,42478.75,42465.25,1520.75,1514.0,1522.25,1512.0,0
813957.0,36390.0,36378.25,1516.75,1520.25,1521.25,1510.75,1
1206383.0,42509.5,42495.75,1521.25,1518.5,1522.75,1511.75,0
1052082.0,42478.75,42465.25,1513.0,1522.25,1522.5,1510.0,0
1138135.0,42842.25,42828.25,1522.25,1528.75,1533.5,1521.75,0
794781.0,42951.5,42937.75,1527.5,1539.0,1539.25,1527.25,1
13638.0,13870.75,13866.25,1540.0,1540.75,1542.25,1539.5,0
669887.0,43031.0,43017.5,1538.0,1536.5,1539.75,1534.0,0
829961.0,43046.75,43033.0,1534.0,1536.25,1540.75,1533.25,0
753883.0,33753.5,33742.5,1538.5,1530.0,1538.75,1530.0,0
918227.0,42947.25,42933.75,1530.75,1534.75,1536.75,1530.25,0
1002380.0,42808.25,42794.5,1535.75,1529.0,1536.25,1524.5,0
988102.0,42889.5,42876.0,1527.5,1533.5,1535.75,1525.5,0
978158.0,43095.25,43081.25,1534.75,1544.25,1544.25,1533.25,0
1352917.0,42995.25,42981.5,1543.5,1527.5,1544.0,1525.25,0
1162148.0,42693.25,42679.5,1529.5,1525.25,1530.75,1519.75,1
893638.0,42738.5,42724.5,1525.0,1524.5,1530.25,1521.0,0
840715.0,42813.75,42800.25,1526.25,1532.0,1532.25,1524.25,1
1053231.0,38354.5,38342.5,1527.75,1541.0,1544.5,1527.25,1
1024566.0,43287.5,43273.75,1545.25,1548.75,1549.5,1541.75,0
656674.0,41867.5,41855.25,1550.75,1550.75,1551.75,1546.5,0
587789.0,43397.0,43384.0,1549.75,1551.5,1552.0,1545.75,1
778498.0,43385.25,43371.25,1552.0,1551.0,1552.75,1545.25,0
845786.0,43490.25,43476.5,1553.0,1553.5,1555.5,1548.25,1
907187.0,43365.0,43351.5,1549.0,1551.5,1552.75,1544.5,0
1365569.0,43315.0,43301.25,1551.25,1540.5,1554.75,1534.75,1
890282.0,43040.25,43027.0,1540.25,1536.0,1541.5,1532.75,0
908174.0,43212.75,43199.0,1537.5,1547.0,1547.5,1537.25,0
969039.0,43558.75,43545.0,1547.5,1556.25,1559.25,1547.5,0
661975.0,43610.0,43596.75,1556.75,1557.25,1559.5,1554.0,0
584241.0,43543.5,43529.75,1555.75,1556.75,1557.5,1552.25,1
7089.0,14016.75,14012.25,1557.25,1557.25,1557.75,1556.25,0
862556.0,43618.25,43604.25,1554.5,1559.75,1561.75,1550.0,1
873319.0,43596.5,43582.5,1554.5,1558.25,1559.5,1552.0,0
1064873.0,43585.25,43571.75,1560.25,1557.0,1562.5,1550.5,0
1008321.0,43458.25,43444.25,1555.75,1551.5,1556.25,1548.25,0
1124904.0,43439.0,43425.5,1556.25,1550.5,1557.5,1545.5,1
3250498.0,42651.0,42637.0,1536.75,1493.75,1537.5,1486.75,0
2162487.0,42236.5,42222.5,1502.75,1506.75,1516.5,1495.75,0
2340730.0,42043.75,42030.0,1491.25,1502.25,1509.5,1478.5,1
1723769.0,41854.0,41841.0,1497.25,1483.5,1503.0,1482.75,1
2000411.0,41518.5,41504.5,1476.75,1470.0,1491.5,1469.0,0
1401472.0,41689.25,41675.5,1483.5,1493.0,1497.25,1480.5,0
1270366.0,41853.5,41839.5,1490.75,1490.75,1500.25,1489.25,1
922997.0,42093.5,42079.5,1500.0,1502.5,1506.75,1495.75,0
1083601.0,42068.5,42054.5,1508.75,1502.75,1509.0,1495.0,0
838646.0,43549.0,43535.0,1497.25,1504.5,1508.25,1496.0,0
1926497.0,43234.75,43220.25,1494.75,1477.0,1502.0,1474.0,0
2429921.0,42833.75,42819.25,1477.25,1486.5,1487.0,1460.25,1
1287205.0,43187.25,43172.75,1483.0,1488.0,1493.5,1481.5,1
892729.0,35711.0,35699.0,1490.25,1484.25,1494.75,1480.25,0
986969.0,43418.25,43403.75,1491.5,1500.25,1501.0,1489.75,0
962494.0,43637.75,43623.25,1500.0,1508.75,1509.0,1497.75,1
1541403.0,43924.5,43910.5,1509.0,1530.0,1534.75,1506.0,0
1015486.0,44415.5,44401.25,1532.75,1529.75,1534.5,1526.0,0
1383322.0,81097.5,81071.0,1532.25,1530.25,1536.0,1519.25,1
1291655.0,43976.0,43961.5,1519.0,1514.75,1521.5,1509.25,0
1206419.0,43978.0,43963.5,1521.75,1516.75,1522.25,1508.25,1
2159988.0,86459.25,86430.75,1518.25,1518.25,1524.75,1503.0,1
911722.0,44412.5,44398.75,1525.5,1531.75,1535.5,1524.5,0
627847.0,44459.0,44445.5,1532.75,1533.25,1535.0,1529.25,0
491263.0,44556.5,44542.25,1533.25,1537.75,1539.75,1531.25,0
547442.0,44681.0,44667.0,1541.75,1539.5,1543.0,1537.5,0
663230.0,44696.0,44681.75,1538.0,1540.75,1543.25,1537.5,0
1111694.0,44554.25,44539.75,1543.0,1533.5,1543.25,1529.5,0
1087023.0,44562.25,44547.75,1530.75,1540.0,1542.0,1527.25,0
1995192.0,88433.75,88405.75,1552.25,1559.75,1562.25,1537.25,0
1106921.0,45377.25,45363.25,1564.5,1563.75,1567.75,1560.0,0
1007968.0,45373.5,45359.0,1560.0,1565.5,1569.5,1558.5,0
1015643.0,45345.25,45330.75,1558.0,1564.75,1566.75,1556.25,1
1951741.0,89778.5,89751.0,1576.25,1573.25,1579.75,1569.5,0
1099722.0,45600.5,45586.0,1575.0,1573.5,1576.25,1565.25,1
1113492.0,45851.25,45837.0,1579.0,1585.75,1588.5,1573.0,1
890023.0,46015.25,46001.0,1587.5,1587.0,1589.5,1582.25,0
1946792.0,90332.5,90304.25,1587.5,1574.0,1588.75,1573.0,1
1178766.0,45643.75,45629.25,1575.5,1577.75,1578.0,1567.25,1
910016.0,46005.5,45991.25,1578.25,1585.75,1589.75,1577.75,0
833206.0,46166.5,46152.25,1590.75,1592.75,1594.25,1587.25,0
1476838.0,91112.75,91085.25,1598.75,1598.75,1601.75,1592.0,0
784416.0,46270.5,46257.0,1594.75,1596.75,1598.75,1590.75,1
1045112.0,46367.0,46353.0,1594.5,1600.75,1604.0,1592.75,1
1567191.0,46122.5,46108.25,1596.75,1584.0,1598.75,1581.0,0
2114463.0,90831.0,90803.5,1597.25,1593.5,1601.25,1585.5,0
1540650.0,46355.75,46341.25,1595.0,1592.75,1604.75,1589.75,1
1165772.0,46329.75,46315.25,1596.25,1602.75,1603.5,1591.0,1
1047940.0,46460.5,46446.25,1599.75,1600.5,1606.75,1598.0,1
1989331.0,91913.0,91885.0,1612.25,1612.5,1619.0,1605.0,0
904683.0,46822.0,46807.5,1614.5,1610.5,1618.25,1610.0,0
1225043.0,46884.0,46870.25,1615.5,1610.25,1620.75,1609.0,1
1806994.0,46498.75,46484.75,1610.5,1596.25,1617.5,1592.75,1
807353.0,59278.0,59259.75,1601.75,1603.25,1605.5,1597.0,0
1062889.0,46549.5,46535.5,1605.0,1606.75,1609.5,1599.25,0
1449790.0,46633.0,46618.5,1598.75,1618.5,1619.75,1597.5,1
1080229.0,46972.25,46958.0,1621.25,1618.0,1623.0,1615.25,0
2001527.0,92536.75,92508.25,1619.5,1625.0,1628.0,1618.25,0
1384958.0,46920.75,46906.25,1620.5,1618.5,1622.5,1612.0,0
1533058.0,46565.0,46550.75,1611.5,1601.5,1612.25,1600.0,0
1543440.0,46106.0,46091.5,1598.75,1574.25,1603.0,1572.5,0
2703139.0,90616.75,90589.0,1591.25,1595.25,1601.5,1572.75,1
1943376.0,46035.5,46021.0,1589.5,1578.0,1597.25,1576.75,1
1584967.0,46107.25,46093.25,1586.25,1599.75,1602.0,1582.75,0
1320739.0,46638.75,46625.0,1601.0,1609.5,1612.25,1600.75,0
1508223.0,76113.75,76091.0,1619.25,1615.75,1624.25,1615.5,0
970874.0,46884.5,46870.25,1613.0,1619.0,1621.0,1610.75,0
1737949.0,46772.5,46758.0,1622.5,1597.5,1623.0,1595.5,0
1685754.0,44808.25,44794.25,1596.5,1604.75,1607.25,1588.25,0
3355211.0,90732.75,90704.5,1589.75,1584.25,1603.25,1575.25,0
1804403.0,45902.0,45887.75,1587.75,1568.75,1589.75,1567.5,1
1584762.0,45747.5,45733.0,1564.25,1589.0,1590.25,1563.5,0
1259630.0,46154.0,46139.5,1587.0,1588.0,1598.25,1587.0,1
2473713.0,90857.75,90829.25,1590.25,1601.25,1603.0,1574.75,0
480110.0,27302.25,27294.25,1605.0,1606.0,1608.0,1602.75,0
9714.0,14482.25,14477.75,1608.0,1608.75,1609.75,1607.75,0
762537.0,46536.75,46522.75,1607.0,1604.75,1608.25,1598.75,0
1503928.0,91845.75,91817.75,1613.25,1612.75,1616.0,1601.5,1
1594835.0,46442.5,46428.0,1605.0,1590.25,1608.0,1589.25,0
1377963.0,46277.75,46264.0,1589.5,1601.5,1602.0,1586.25,0
1534811.0,46868.0,46853.5,1605.75,1625.5,1629.25,1604.25,0
2002396.0,93029.25,93001.25,1630.0,1629.75,1636.5,1625.25,0
1130382.0,47345.5,47331.0,1631.25,1627.75,1635.75,1627.5,1
1877196.0,46989.0,46974.5,1621.75,1625.75,1628.25,1612.75,0
1151011.0,47327.75,47313.5,1632.5,1629.25,1635.25,1627.5,0
3079279.0,92365.75,92338.0,1621.25,1619.25,1629.75,1607.5,0
1938611.0,46573.0,46558.5,1611.0,1592.5,1614.0,1586.75,0
2204290.0,46199.75,46185.25,1598.75,1594.0,1602.5,1580.75,1
3291853.0,45403.0,45388.75,1578.75,1560.0,1585.0,1541.25,0
2319936.0,45050.75,45036.5,1559.25,1532.5,1565.5,1526.5,0
3025479.0,44351.25,44336.75,1526.75,1540.0,1545.25,1515.25,0
1982656.0,44799.5,44785.0,1546.75,1551.5,1553.25,1536.25,0
2467041.0,44809.25,44794.75,1533.75,1552.5,1565.0,1531.0,1
2579609.0,45487.0,45472.5,1559.0,1572.5,1580.75,1553.5,0
2798376.0,44908.0,44893.5,1545.5,1528.0,1563.75,1526.75,0
2400617.0,43930.25,43915.75,1530.75,1503.5,1532.25,1500.5,1
2700928.0,43594.25,43579.75,1499.0,1484.75,1517.25,1479.0,0
1471494.0,44151.0,44137.0,1515.25,1520.5,1530.25,1513.5,0
1428305.0,44454.5,44440.0,1531.75,1538.25,1539.75,1524.75,0
1439026.0,44536.0,44521.5,1546.75,1536.75,1548.0,1527.25,0
1904762.0,88036.25,88008.0,1549.75,1540.0,1554.25,1534.0,1
1837417.0,44145.25,44130.75,1532.25,1508.75,1533.25,1505.0,0
1800992.0,44112.25,44097.75,1513.5,1535.5,1537.5,1509.25,0
1626903.0,44470.0,44455.75,1524.25,1531.5,1541.75,1522.75,1
1529035.0,57258.25,57239.75,1546.0,1545.5,1555.0,1538.0,0
1451392.0,45180.5,45166.25,1544.5,1559.25,1569.5,1543.0,0
1724659.0,44821.75,44807.25,1549.75,1546.5,1552.5,1538.5,0
1292647.0,44924.25,44909.75,1549.25,1549.75,1554.75,1539.75,1
1679056.0,44577.5,44563.5,1529.75,1542.75,1544.75,1528.75,0
1531704.0,44817.5,44803.5,1539.0,1545.75,1551.5,1536.75,1
848347.0,45132.5,45118.25,1552.75,1554.75,1561.5,1548.75,0
2062735.0,88378.5,88350.25,1549.0,1547.0,1557.25,1542.25,1
2051246.0,45375.5,45360.0,1555.25,1589.5,1591.5,1549.75,0
2069130.0,46448.0,46433.75,1600.5,1598.25,1609.25,1592.25,0
1781738.0,46232.75,46218.25,1595.75,1588.5,1599.5,1586.0,0
2576479.0,90952.25,90924.75,1595.25,1588.75,1600.75,1585.25,1
