vol,ask,bid,open,close,high,low,start,end
1037983,72965.75,72951.75,2598.5,2607,2609.5,2596.75,2017-03-30 08:30:00,2017-03-30 15:45:00
1384732,72972.25,72958.25,2605,2601,2609.5,2600.5,2017-03-31 08:30:00,2017-03-31 15:45:00
1560954,72652.5,72638.5,2602,2597.5,2604.5,2582.75,2017-04-03 08:30:00,2017-04-03 15:45:00
1030121,72693.5,72679.5,2591.5,2601,2601.25,2589.25,2017-04-04 08:30:00,2017-04-04 15:45:00
1752970,73097.5,73083.5,2605.25,2588.25,2617.75,2587,2017-04-05 08:30:00,2017-04-05 15:45:00
1326158,75333.75,75319.25,2593.25,2596.5,2604,2587.75,2017-04-06 08:30:00,2017-04-06 15:30:00
1069318,72736.5,72722.5,2594.5,2595.25,2603.5,2589.75,2017-04-07 08:30:00,2017-04-07 15:45:00
1199700,72793.5,72779.5,2596.75,2597,2606,2590.25,2017-04-10 08:30:00,2017-04-10 15:45:00
1667282,72440.25,72426.5,2592,2594,2594.5,2576,2017-04-11 08:30:00,2017-04-11 15:45:00
1307707,74995,74980.5,2589,2583.5,2592.25,2580.25,2017-04-12 08:30:00,2017-04-12 15:30:00
1313197,72235.25,72221.25,2578.75,2568.75,2587.75,2566.75,2017-04-13 08:30:00,2017-04-13 15:45:00
861100,72253,72239,2574,2587.75,2588.75,2571.5,2017-04-17 08:30:00,2017-04-17 15:45:00
1205435,72265.75,72251.75,2579.75,2581,2587.25,2573,2017-04-18 08:30:00,2017-04-18 15:45:00
1083081,72370,72356,2587.5,2576,2592,2574,2017-04-19 08:30:00,2017-04-19 15:45:00
1283904,72590.5,72576.5,2583,2594.25,2601,2580,2017-04-20 08:30:00,2017-04-20 15:45:00
1114146,72553,72539,2595.5,2589.25,2596,2583.25,2017-04-21 08:30:00,2017-04-21 15:45:00
1199390,75785.5,75771,2614.75,2613,2616.75,2608.5,2017-04-24 08:30:00,2017-04-24 15:30:00
1121676,73582.5,73568.5,2621.25,2627.25,2632,2620.25,2017-04-25 08:30:00,2017-04-25 15:45:00
1317978,76337.25,76322.75,2628,2625.25,2637.5,2624.75,2017-04-26 08:30:00,2017-04-26 15:30:00
957900,76206.75,76192.25,2628.25,2629,2631.5,2621.5,2017-04-27 08:30:00,2017-04-27 15:30:00
1024181,76117.75,76103.25,2629.75,2623.75,2631.25,2621,2017-04-28 08:30:00,2017-04-28 15:30:00
830061,73630,73616.25,2628.75,2629.5,2633.5,2623.5,2017-05-01 08:30:00,2017-05-01 15:45:00
845820,73595,73581.75,2629.25,2627.25,2631.5,2624.5,2017-05-02 08:30:00,2017-05-02 15:45:00
977067,73486.75,73473,2623.75,2625.25,2628.75,2618.25,2017-05-03 08:30:00,2017-05-03 15:45:00
1071670,76186.75,76172.25,2630.75,2628.25,2630.75,2618.75,2017-05-04 08:30:00,2017-05-04 15:30:00
955050,73700,73686.25,2632.5,2641.25,2640.75,2627.75,2017-05-05 08:30:00,2017-05-05 15:45:00
741540,73829.75,73816,2637.5,2637.5,2640.5,2632.5,2017-05-08 08:30:00,2017-05-08 15:45:00
970521,73892.5,73878.75,2640.25,2635.5,2642.75,2631.5,2017-05-09 08:30:00,2017-05-09 15:45:00
826536,76480,76466,2633.5,2637.75,2639.75,2632,2017-05-10 08:30:00,2017-05-10 15:30:00
1206427,73670.75,73656.75,2633.75,2633.5,2636.25,2621.75,2017-05-11 08:30:00,2017-05-11 15:45:00
889403,76286.5,76272.5,2632.75,2631.75,2633,2627,2017-05-12 08:30:00,2017-05-12 15:30:00
880998,73973.25,73959.75,2635.25,2642.25,2645,2635,2017-05-15 08:30:00,2017-05-15 15:45:00
908983,73974,73960.25,2645.5,2640.5,2647.25,2636.5,2017-05-16 08:30:00,2017-05-16 15:45:00
2356979,73161.5,73147.75,2620.5,2600,2626.5,2597.5,2017-05-17 08:30:00,2017-05-17 15:45:00
1940281,75570.5,75556,2595.5,2606,2617.75,2594.25,2017-05-18 08:30:00,2017-05-18 15:30:00
1455762,73489.75,73476,2612.25,2625,2630.75,2610.75,2017-05-19 08:30:00,2017-05-19 15:45:00
949156,76368.75,76354.25,2627.5,2635.25,2637,2627.25,2017-05-22 08:30:00,2017-05-22 15:30:00
811866,73915,73901.25,2639.5,2640,2642.25,2634.75,2017-05-23 08:30:00,2017-05-23 15:45:00
858240,76634,76620,2641,2644.25,2646.75,2638.75,2017-05-24 08:30:00,2017-05-24 15:30:00
1099537,74376,74362.75,2651.25,2655.5,2660.5,2648.75,2017-05-25 08:30:00,2017-05-25 15:45:00
685240,74389.5,74376.75,2654.25,2657,2658.25,2653.75,2017-05-26 08:30:00,2017-05-26 15:45:00
18537,39880.25,39873.5,2659.25,2657,2659.75,2657,2017-05-29 08:30:00,2017-05-29 17:15:00
801129,77000.5,76986.75,2652.5,2653.75,2657.25,2650.75,2017-05-30 08:30:00,2017-05-30 15:30:00
